obs_ID,root_ID,SampleId,RootName,Tube,Location,Date,Time,Session,DataGatherer,BirthSession,DeathSession,TotLength_mm,TotProjArea_mm2,TotSurfArea_mm2,TotAvgDiam_cm,TotVolume_mm3,Length_mm,ProjArea_mm2,SurfArea_mm2,AvgDiam_cm,Volume_mm3,TipDiam,TipLivStatus,HighestOrder,ExtPathLength,Altitude,root_status,Month
1_13_3_R15,13_3_R15,BRUROOTSTUDY2020_T013_L003_2020.04.21_112937_001_SAS.jpg,R15,13,3,2020-04-21,112937,1,SAS,1,0,2.3213,4.0893,12.8469,17.6163,5.6579,2.3213,4.0893,12.8469,17.6163,5.6579,17.6163,A,0,1,1,Alive,4
2_13_3_R15,13_3_R15,BRUROOTSTUDY2020_T013_L003_2020.05.25_105015_002_SAS.jpg,R15,13,3,2020-05-25,105015,2,SAS,1,0,4.4436,8.4302,26.4841,18.9714,12.561,4.4436,8.4302,26.4841,18.9714,12.561,17.6163,A,0,1,1,Alive,5
2_15_37_R3,15_37_R3,BRUROOTSTUDY2020_T015_L037_2020.05.25_110318_002_SAS.jpg,R3,15,37,2020-05-25,110318,2,SAS,2,0,4.0712,11.3996,35.8129,28.0004,25.4266,4.0712,11.3996,35.8129,28.0004,25.4266,22.7656,A,0,4,4,Alive,5
3_15_37_R3,15_37_R3,BRUROOTSTUDY2020_T015_L037_2020.06.25_105842_003_SAS.jpg,R3,15,37,2020-06-25,105842,3,SAS,2,0,3.709,10.5357,33.0989,28.4058,23.8083,3.709,10.5357,33.0989,28.4058,23.8083,22.7656,A,0,4,4,Alive,6
4_15_37_R3,15_37_R3,BRUROOTSTUDY2020_T015_L037_2020.07.29_111114_004_SAS.jpg,R3,15,37,2020-07-29,111114,4,SAS,2,0,2.8359,8.0984,25.4419,28.5569,18.4647,2.8359,8.0984,25.4419,28.5569,18.4647,33.0644,A,0,3,3,Alive,7
5_15_37_R3,15_37_R3,BRUROOTSTUDY2020_T015_L037_2020.08.27_104256_005_SAS.jpg,R3,15,37,2020-08-27,104256,5,SAS,2,0,1.3853,3.0405,9.5521,21.9492,5.3469,1.3853,3.0405,9.5521,21.9492,5.3469,27.915,A,0,2,2,Alive,8
5_15_38_R10,15_38_R10,BRUROOTSTUDY2020_T015_L038_2020.08.27_104300_005_SAS.jpg,R10,15,38,2020-08-27,104300,5,SAS,5,0,0.9634,2.5128,7.8942,26.0814,5.3006,0.9634,2.5128,7.8942,26.0814,5.3006,15.1771,A,0,3,3,Alive,8
6_15_37_R3,15_37_R3,BRUROOTSTUDY2020_T015_L037_2020.09.30_112551_006_SAS.jpg,R3,15,37,2020-09-30,112551,6,SAS,2,0,2.0777,5.1988,16.3324,25.0214,10.63,2.0777,5.1988,16.3324,25.0214,10.63,34.4195,A,0,3,3,Alive,9
6_15_38_R10,15_38_R10,BRUROOTSTUDY2020_T015_L038_2020.09.30_112555_006_SAS.jpg,R10,15,38,2020-09-30,112555,6,SAS,5,0,0.3312,0.727,2.284,21.9526,1.2535,0.3312,0.727,2.284,21.9526,1.2535,20.8685,A,0,1,1,Alive,9
7_15_37_R3,15_37_R3,BRUROOTSTUDY2020_T015_L037_2020.10.28_112547_007_SAS.jpg,R3,15,37,2020-10-28,112547,7,SAS,2,0,2.0777,5.1988,16.3324,25.0214,10.63,2.0777,5.1988,16.3324,25.0214,10.63,34.4195,A,0,3,3,Alive,10
7_15_38_R10,15_38_R10,BRUROOTSTUDY2020_T015_L038_2020.10.28_112551_007_SAS.jpg,R10,15,38,2020-10-28,112551,7,SAS,5,0,0.3312,0.727,2.284,21.9526,1.2535,0.3312,0.727,2.284,21.9526,1.2535,20.8685,A,0,1,1,Alive,10
8_15_37_R3,15_37_R3,BRUROOTSTUDY2020_T015_L037_2020.11.23_123228_008_SAS.jpg,R3,15,37,2020-11-23,123228,8,SAS,2,0,2.0777,5.1988,16.3324,25.0214,10.63,2.0777,5.1988,16.3324,25.0214,10.63,34.4195,A,0,3,3,Alive,11
8_15_38_R10,15_38_R10,BRUROOTSTUDY2020_T015_L038_2020.11.23_123232_008_SAS.jpg,R10,15,38,2020-11-23,123232,8,SAS,5,8,0.3312,0.727,2.284,21.9526,1.2535,0.3312,0.727,2.284,21.9526,1.2535,20.8685,G,0,1,1,Gone,11
